id,collection
862,Toy Story Collection
15602,Grumpy Old Men Collection
11862,Father of the Bride Collection
710,James Bond Collection
21032,Balto Collection
9273,Ace Ventura Collection
8012,Chili Palmer Collection
9598,Babe Collection
9312,Mortal Kombat Collection
10530,Pocahontas Collection
11525,The Lawnmower Man Collection
10634,Friday Collection
755,From Dusk Till Dawn Collection
9102,Screamers Collection
10874,The Muppet Collection
27793,The Neverending Story Collection
9737,Bad Boys Collection
414,Batman Collection
5894,Brooklyn Cigar Store Collection
8839,Casper Collection
8068,Mexico Trilogy
1572,Die Hard Collection
13552,Teenage Apocalypse Trilogy
9073,Free Willy Collection
9070,Power Rangers Collection
1642,Síť (kolekce)
11980,The Prophecy Collection
10802,Showgirls Collection
10149,Brooklyn Cigar Store Collection
9348,Species Collection
3512,Under Siege Collection
50797,Burnt by the Sun Trilogy
76,Before... Collection
2292,Clerks Collection
8467,Dumb and Dumber Collection
15789,A Goofy Movie Collection
628,The Vampire Chronicles
11,Star Wars Collection
63105,Nemesis Collection
527,Once were Warriors Collection
18220,Poison Ivy Collection
110,Three Colors Collection
108,Three Colors Collection
109,Three Colors Collection
22586,Swan Princess Series
11395,The Santa Clause Collection
9059,Tales from the Crypt Collection
193,Star Trek: The Next Generation Collection
3049,Ace Ventura Collection
9331,The Jack Ryan Collection
9495,The Crow Collection
888,The Flintstones (Live-Action) Collection
8587,The Lion King Collection
11596,A Nightmare on Elm Street Collection
854,The Mask Collection
36593,Naked Gun Collection
11011,Richie Rich Collection
1637,Speed Collection
8831,Timecop Collection
11667,Street Fighter
75555,Fear Collection
8011,Highlander Collection
2758,Addams Family Collection
9409,Stakeout Collection
306,Beverly Hills Cop Collection
11310,City Slickers Collection
24257,The Endless Summer Collection
1634,Free Willy Collection
5503,The Fugitive / U.S. Marshals Collection
2019,Hard Target Collection
9255,Hot Shots! Collection
16097,House Party Collection
329,Jurassic Park Collection
11231,The Karate Kid Collection
5550,RoboCop Collection
11236,The Secret Garden Collection
8850,The Shadow Collection
78,Blade Runner Collection
9066,The Brady Bunch Collection
771,Home Alone Collection
812,Aladdin Collection
280,The Terminator Collection
268,Batman Collection
274,The Hannibal Lecter Anthology
10020,Beauty and the Beast Collection
10824,Candyman Collection
25059,Homeward Bound Collection
11827,Heavy Metal Collection
8766,Hellraiser Collection
19042,All Dogs Go to Heaven Collection
954,Mission: Impossible Collection
8840,DragonHeart Collection
25087,Bloodsport Collection
5801,The Apu Collection
896,The Apu Collection
8072,Lemmy Caution Collection
20762,The Substitute Collection
11687,The Visitors Collection
9323,Ghost in the Shell Collection
532,Wallace & Gromit Collection
10547,The Arrival Collection
77771,"Martin Scorsese’s World Cinema Project, Vol. 1"
627,Trainspotting Collection
602,Independence Day Collection
10545,The Hunchback of Notre Dame Collection
9327,The Nutty Professor Collection
12606,The Brady Bunch Collection
10546,The Crow Collection
9431,Tales from the Crypt Collection
10061,Escape From ... Collection
238,The Godfather Collection
11134,Police Story Collection
38955,Police Story Collection
19004,The Land Before Time Collection
10987,Halloween Collection
62,The Space Odyssey Series
3529,The Thin Man Collection
10331,Living Dead Collection
39448,In the Line of Duty Collection
10680,The Mighty Ducks Collection
18660,The Apple Dumpling Gang Collection
35115,Davy Crockett Collection
14821,Witch Mountain Collection
14136,Herbie Collection
10869,Herbie Collection
19186,Parent Trap Collection
6878,Homeward Bound Collection
15944,The Shaggy Dog Collection
11224,Cinderella Collection
15947,Caballeros Collection
10948,The Fox and the Hound Collection
11229,Freeway Collection
562,Die Hard Collection
10163,The Lawnmower Man Collection
11238,Aladdin Collection
88,Dirty Dancing Collection
8491,Weekend at Bernie's Collection
402,Basic Instinct Collection
25750,Children of the Corn Collection
11843,The Pink Panther (Original) Collection
1103,Escape From ... Collection
11298,The Howling Collection
4480,The Water of the Hills Collection
4481,The Water of the Hills Collection
531,Wallace & Gromit Collection
36555,Best of the Best Collection
11455,Cheech & Chong Collection
1891,Star Wars Collection
85,Indiana Jones Collection
679,Alien Collection
429,The Man With No Name Collection
1892,Star Wars Collection
348,Alien Collection
766,Evil Dead Collection
539,Psycho Collection
525,The Blues Brothers Collection
240,The Godfather Collection
530,Wallace & Gromit Collection
9277,The Sting Collection
218,The Terminator Collection
829,The Jake Gittes Collection
765,Evil Dead Collection
105,Back to the Future Collection
8009,Highlander Collection
756,Fantasia Collection
11314,Qatsi Collection
89,Indiana Jones Collection
8077,Alien Collection
41671,The Amityville Horror Collection
27214,The Amityville Horror Collection
52263,The Amityville Horror Collection
33519,The Amityville Horror Collection
16235,The Amityville Horror Collection
11449,The Amityville Horror Collection
41848,The Amityville Horror Collection
8851,The Blob Collection
229,Frankenstein (Universal Series)
9529,Candyman Collection
7340,Carrie Collection
377,A Nightmare on Elm Street Collection
794,The Omen Collection
145,Heart of Gold Collection
199,Star Trek: The Next Generation Collection
9279,Jingle All the Way Collection
17204,Paradise Lost Collection
11674,101 Dalmatians (Live-Action) Collection
1573,Die Hard Collection
152,Star Trek: The Original Series Collection
174,Star Trek: The Original Series Collection
172,Star Trek: The Original Series Collection
154,Star Trek: The Original Series Collection
157,Star Trek: The Original Series Collection
168,Star Trek: The Original Series Collection
364,Batman Collection
11967,Young Guns Collection
9086,Young Guns Collection
621,Grease Collection
9037,Grease Collection
8845,Under Siege Collection
578,The Jaws Collection
579,The Jaws Collection
17692,The Jaws Collection
4232,Scream Collection
34314,Turbulence Collection
9404,Police Story Collection
14908,McHale's Navy Collection
11419,National Lampoon's Vacation Collection
10003,The Saint Collection
11844,Barrytown Trilogy
6499,Power Rangers Collection
9360,Anaconda Collection
816,Austin Powers Collection
49478,Warriors of Virtue Collection
1811,Teenage Apocalypse Trilogy
330,Jurassic Park Collection
33660,Shiloh Collection
1639,Speed Collection
415,Batman Collection
17991,Tetsuo Collection
607,Men In Black Collection
9387,Conan the Barbarian Collection
10603,George of the Jungle Collection
20737,Air Bud Collection
18519,Free Willy Collection
4961,Mimic Collection
1669,The Jack Ryan Collection
9437,Alex Cross Collection
10351,Wishmaster Collection
3597,I Know What You Did Last Summer Collection
1281,Mr. Bean Collection
563,Starship Troopers Collection
9823,Mortal Kombat Collection
8078,Alien Collection
42832,Les Boys
9714,Home Alone Collection
4233,Scream Collection
714,James Bond Collection
9922,The Postman Collection
32302,3 Ninjas Collection
9033,The Prophecy Collection
11568,The Blues Brothers Collection
11808,The Fugitive / U.S. Marshals Collection
617,Wild Things Collection
17644,Barney Collection
27472,The Odd Couple Collection
10216,Species Collection
9771,Major League Collection
37410,Henry Fool Collection
10674,Mulan Collection
846,The X-Files Collection
3050,Dr. Dolittle Collection
944,Lethal Weapon Collection
1051,French Connection Collection
1366,Rocky Collection
10014,A Nightmare on Elm Street Collection
10072,A Nightmare on Elm Street Collection
10131,A Nightmare on Elm Street Collection
10160,A Nightmare on Elm Street Collection
11284,A Nightmare on Elm Street Collection
4488,Friday the 13th Collection
9725,Friday the 13th Collection
9728,Friday the 13th Collection
9730,Friday the 13th Collection
9731,Friday the 13th Collection
10225,Friday the 13th Collection
10281,Friday the 13th Collection
10283,Friday the 13th Collection
948,Halloween Collection
11281,Halloween Collection
10676,Halloween Collection
11357,Halloween Collection
11361,Halloween Collection
36599,Prom Night Collection
39929,Prom Night Collection
41828,Prom Night Collection
41769,Prom Night Collection
10585,Child's Play Collection
11186,Child's Play Collection
11187,Child's Play Collection
609,Poltergeist Collection
11133,Poltergeist Collection
10306,Poltergeist Collection
9552,The Exorcist Collection
11586,The Exorcist Collection
11587,The Exorcist Collection
941,Lethal Weapon Collection
942,Lethal Weapon Collection
943,Lethal Weapon Collection
927,The Gremlins Collection
928,The Gremlins Collection
9342,Zorro Collection
165,Back to the Future Collection
196,Back to the Future Collection
551,The Poseidon Adventure Collection
17984,Flubber Collection
22328,The Apple Dumpling Gang Collection
3170,Bambi Collection
242,The Godfather Collection
29228,Dexter Riley Collection
11164,The Mighty Ducks Collection
12129,Herbie Collection
14140,Herbie Collection
11158,"Honey, I Shrunk the Kids Collection"
9354,"Honey, I Shrunk the Kids Collection"
9325,The Jungle Book Collection
10340,Lady and the Tramp Collection
10144,The Little Mermaid Collection
10414,The Mighty Ducks Collection
10437,The Muppet Collection
12230,101 Dalmatians (Animated) Collection
10693,Peter Pan Collection
11135,The Rescuers Collection
11319,The Rescuers Collection
14822,Witch Mountain Collection
15969,Aladdin Collection
15943,The Shaggy Dog Collection
19762,Flubber Collection
2619,Splash Collection
97,TRON Collection
11675,Halloween Collection
87,Indiana Jones Collection
123,The Lord of the Rings Animated Collection
10823,Children of the Corn Collection
11497,All Dogs Go to Heaven Collection
2907,Addams Family Collection
15171,Charlotte's Web Collection
11704,The Secret Of NIMH Collection
4978,Fievel Collection
10380,Fievel Collection
11415,House Collection
37530,House Collection
8393,The Gods Must Be Crazy Collection
11937,The Gods Must Be Crazy Collection
21661,Air Bud Collection
39930,Henry: Portrait of a Serial Killer Collection
10692,Henry: Portrait of a Serial Killer Collection
805,Rosemary's Baby Collection
34584,The Neverending Story Collection
34636,The Neverending Story Collection
2182,Killer Tomatoes! Collection
36647,Blade Collection
431,Cube Collection
2109,Rush Hour Collection
9877,Urban Legend
1091,The Thing Collection
4437,The Space Odyssey Series
11932,Child's Play Collection
9945,Vampires Collection
4518,Elizabeth Collection
3600,I Know What You Did Last Summer Collection
12223,Stepford Collection
14444,Rugrats Collection
1678,Godzilla (Showa) Collection
39256,Godzilla (Heisei) Collection
1680,Godzilla (Showa) Collection
244,King Kong (1933 series)
10730,King Kong (1976 series)
31947,King Kong (1976 series)
9749,Fletch Collection
14628,Fletch Collection
9626,Conan the Barbarian Collection
707,James Bond Collection
9336,Police Academy Collection
10157,Police Academy Collection
12118,Police Academy Collection
10587,Police Academy Collection
11825,Police Academy Collection
11895,Police Academy Collection
9447,Babe Collection
200,Star Trek: The Next Generation Collection
1369,Rambo Collection
1368,Rambo Collection
1370,Rambo Collection
10303,Romancing the Stone Collection
9326,Romancing the Stone Collection
10328,Cocoon Collection
11285,Cocoon Collection
1367,Rocky Collection
1371,Rocky Collection
1374,Rocky Collection
1375,Rocky Collection
1885,The Karate Kid Collection
8856,The Karate Kid Collection
10495,The Karate Kid Collection
5825,National Lampoon's Vacation Collection
6917,The Gate Collection
40729,The Gate Collection
11815,The Fly (1958 series)
9426,The Fly Collection
10344,The Fly Collection
30497,Texas Chainsaw Massacre Collection
16337,Texas Chainsaw Massacre Collection
25018,Texas Chainsaw Massacre Collection
16780,Texas Chainsaw Massacre Collection
9671,Crocodile Dundee Collection
9396,Crocodile Dundee Collection
11873,The Hustler Collection
8224,8MM Collection
8913,Pet Sematary Collection
10906,Pet Sematary Collection
25748,Children of the Corn Collection
25749,Children of the Corn Collection
10671,Airport Collection
27932,Airport Collection
7227,Airport Collection
33518,Alligator Collection
2362,Westworld Collection
871,Planet of the Apes Original Collection
1685,Planet of the Apes Original Collection
1705,Planet of the Apes Original Collection
1688,Planet of the Apes Original Collection
1687,Planet of the Apes Original Collection
29723,Airport Collection
31638,The Poseidon Adventure Collection
9535,Analyze Collection
796,Cruel Intentions Collection
7341,Carrie Collection
603,The Matrix Collection
564,The Mummy Collection
9460,The Black Mask Collection
1893,Star Wars Collection
15849,The Mummy (Universal Series)
18990,The Mummy (Hammer Series)
29242,The Mummy (Universal Series)
29243,The Mummy (Universal Series)
31498,The Mummy (Universal Series)
29239,The Mummy (Universal Series)
1924,Superman Collection
8536,Superman Collection
9531,Superman Collection
11411,Superman Collection
138,Dracula (Universal Series)
30793,Dracula (Universal Series)
3103,Frankenstein (Universal Series)
3035,Frankenstein (Universal Series)
3077,Frankenstein (Universal Series)
3074,Frankenstein (Universal Series)
3076,The Wolf Man (Universal Series)
3079,Frankenstein (Hammer Series)
32023,Dracula (Universal Series)
13666,The Wolf Man (Universal Series)
29794,The Howling Collection
36685,Rocky Horror Collection
17918,Swamp Thing Collection
817,Austin Powers Collection
37135,Tarzan (Animation) Collection
2105,American Pie Collection
10239,Tales of the Four Seasons
10208,The Muppet Collection
2667,Blair Witch Collection
9825,Lake Placid Collection
620,Ghostbusters Collection
2978,Ghostbusters Collection
332,Inspector Gadget Collection
147,The Adventures of Antoine Doinel
9710,Allan Quatermain Collection
10766,The Omen Collection
10768,The Omen Collection
813,Airplane Collection
2665,Airplane Collection
11418,National Lampoon's Vacation Collection
11153,National Lampoon's Vacation Collection
11077,Problem Child Collection
28597,Problem Child Collection
850,A Christmas Story Collection
10366,Universal Soldier Collection
9349,Universal Soldier Collection
11037,Iron Eagle Collection
11955,Iron Eagle Collection
2038,Iron Eagle Collection
28737,Iron Eagle Collection
91893,The Spiders Serial
11601,Stir of Echoes Collection
11797,Fright Night Collection
18086,Fright Night Collection
10975,Armour of God Collection
10974,Armour of God Collection
9638,Phantasm Collection
10576,Psycho Collection
12662,Psycho Collection
11230,Drunken Master Collection
1654,The Dirty Dozen Collection
658,James Bond Collection
657,James Bond Collection
646,James Bond Collection
5689,The Blue Lagoon collection
391,The Man With No Name Collection
772,Home Alone Collection
65448,Penitenciaría - Colección
65452,Penitenciaría - Colección
29064,Omega Code Series
10496,Bats Collection
16162,The Best Man Collection
15247,Harry Palmer Collection
29251,On Any Sunday Collection
5548,RoboCop Collection
5549,RoboCop Collection
699,James Bond Collection
709,James Bond Collection
253,James Bond Collection
660,James Bond Collection
11377,House on Haunted Hill Collection
