id,company
862,PIXAR ANIMATION STUDIOS
8844,TRISTAR PICTURES
15602,WARNER BROS.
31357,TWENTIETH CENTURY FOX FILM CORPORATION
11862,SANDOLLAR PRODUCTIONS
949,REGENCY ENTERPRISES
11860,PARAMOUNT PICTURES
45325,WALT DISNEY PICTURES
9091,UNIVERSAL PICTURES
710,UNITED ARTISTS
9087,COLUMBIA PICTURES
12110,COLUMBIA PICTURES
21032,UNIVERSAL PICTURES
10858,HOLLYWOOD PICTURES
1408,LE STUDIO CANAL+
524,UNIVERSAL PICTURES
4584,COLUMBIA PICTURES CORPORATION
5,MIRAMAX FILMS
9273,O ENTERTAINMENT
11517,COLUMBIA PICTURES
8012,JERSEY FILMS
1710,REGENCY ENTERPRISES
9691,SILVER PICTURES
12665,CARAVAN PICTURES
451,UNITED ARTISTS
16420,COLUMBIA PICTURES
9263,NEW LINE CINEMA
17015,BBC FILMS
902,PROCIREP
37557,MINISTÈRE DES AFFAIRES ÉTRANGÈRES
9909,HOLLYWOOD PICTURES
63,UNIVERSAL PICTURES
78802,IWERKS ENTERTAINMENT
9598,UNIVERSAL PICTURES
47018,STUDIOCANAL
687,HAVOC
139405,SONY NEW TECHNOLOGIES
33689,DUALSTAR PRODUCTIONS
9603,PARAMOUNT PICTURES
34615,MIRAMAX
31174,BRITISH SCREEN
11443,CARAVAN PICTURES
35196,MIRAMAX FILMS
9312,NEW LINE CINEMA
577,THE RANK ORGANISATION
11861,UNIVERSAL PICTURES
807,NEW LINE CINEMA
10530,WALT DISNEY PICTURES
8391,ALLIANCE COMMUNICATIONS CORPORATION
629,BLUE PARROT PRODUCTIONS
11448,MIRAMAX FILMS
26441,WALT DISNEY PICTURES
97406,MIRAMAX FILMS
124057,TELEFILM CANADA
9089,PARAMOUNT PICTURES
11359,PARAMOUNT PICTURES
17182,PARAMOUNT PICTURES
2054,HOLLYWOOD PICTURES
10607,MIRAMAX FILMS
19760,WARNER BROS.
9536,METRO-GOLDWYN-MAYER (MGM)
11525,NEW LINE CINEMA
40628,MIRAMAX FILMS
4482,RENN PRODUCTIONS
10634,NEW LINE CINEMA
755,A BAND APART
11859,SILVER PICTURES
28387,CASTLEBERG PRODUCTIONS
48750,LES FILMS 13
20927,NEW LINE CINEMA
36929,WARNER BROS.
9102,THE MOVIE NETWORK (TMN)
124626,ZWEITES DEUTSCHES FERNSEHEN (ZDF)
27526,MIRAMAX FILMS
9623,COLUMBIA PICTURES CORPORATION
46785,I.R.I.B. CHANNEL 2
400,MIRAMAX FILMS
880,BERGEN FILM
146599,BET PICTURES
8447,PLAYHOUSE INTERNATIONAL PICTURES
10534,HOLLYWOOD PICTURES
17414,TWENTIETH CENTURY FOX FILM CORPORATION
13997,PARAMOUNT PICTURES
2086,PARAMOUNT PICTURES
61548,MIRAMAX FILMS
9095,TRISTAR PICTURES
12158,PARAMOUNT PICTURES
9283,MIRAMAX FILMS
9208,TWENTIETH CENTURY FOX FILM CORPORATION
40154,CASTLE ROCK ENTERTAINMENT
406,EGG PICTURES
45549,CHANNEL FOUR FILMS
63076,BRITISH BROADCASTING CORPORATION (BBC)
11062,COLUMBIA PICTURES
13685,GRACIE FILMS
47475,TOUCHSTONE PICTURES
2045,METRO-GOLDWYN-MAYER (MGM)
9614,UNIVERSAL PICTURES
688,AMBLIN ENTERTAINMENT
10874,WALT DISNEY PICTURES
197,ICON ENTERTAINMENT INTERNATIONAL
103,COLUMBIA PICTURES CORPORATION
33542,NEW LINE CINEMA
43566,CARAVAN PICTURES
71754,TÉLÉFILM CANADA
43612,FRANCE 2 CINÉMA
16934,BAVARIA FILM AND TELEVISION FUND
10324,TRISTAR PICTURES
78406,SAVOY PICTURES
55731,TRISTAR PICTURES
11066,PARAMOUNT PICTURES
11104,JET TONE PRODUCTION
37975,CECCHI GORI GROUP TIGER CINEMATOGRAFICA
2074,MIRAMAX FILMS
27793,STUDIO BABELSBERG
44284,CANAL HORIZONS
73067,FINE LINE FEATURES
11863,PARAMOUNT PICTURES
55475,CIGUA FILMS
9101,TWENTIETH CENTURY FOX FILM CORPORATION
123360,COUCH POTATOE PRODUCTIONS
39428,CHANNEL FOUR FILMS
9302,CINERGI PICTURES ENTERTAINMENT
11000,UNITED ARTISTS
16388,FOX SEARCHLIGHT PICTURES
9737,COLUMBIA PICTURES
30765,WARNER BROS.
10474,NEW LINE CINEMA
22279,FINE LINE FEATURES
30157,CHANNEL FOUR FILMS
568,IMAGINE ENTERTAINMENT
11780,UNITED ARTISTS
34996,OCTOBER FILMS
414,WARNER BROS.
649,PARIS FILMS PRODUCTIONS
1873,COLUMBIA PICTURES
5894,MIRAMAX FILMS
1775,POLYGRAM FILMED ENTERTAINMENT
8839,UNIVERSAL PICTURES
20649,UNIVERSAL PICTURES
10329,PARAMOUNT PICTURES
8963,HOLLYWOOD PICTURES
26564,SUPERIOR PICTURES
8068,COLUMBIA PICTURES
8512,TRISTAR PICTURES
1572,TWENTIETH CENTURY FOX FILM CORPORATION
13552,WHY NOT PRODUCTIONS
259209,TOUCHSTONE PICTURES
6520,COLUMBIA PICTURES CORPORATION
9073,REGENCY ENTERPRISES
10428,UNITED ARTISTS
17447,THE BOOKING OFFICE
9886,TRISTAR PICTURES
9482,HOLLYWOOD PICTURES
19326,TRISTAR PICTURES
9344,MIRAMAX FILMS
9071,JDI PRODUCTIONS
8973,UNITED ARTISTS
15730,THE ONTARIO FILM DEVELOPMENT CORPORATION
47608,TOUCHSTONE PICTURES
2293,UNIVERSAL PICTURES
9070,TWENTIETH CENTURY FOX FILM CORPORATION
68274,POLYGRAM FILMED ENTERTAINMENT
48787,COMET FILM PRODUKTION GMBH
34574,KINO LINK COMPANY
1642,COLUMBIA PICTURES
11472,TWENTIETH CENTURY FOX FILM CORPORATION
36196,PARTY PRODUCTIONS
11980,DIMENSION FILMS
58372,PLAYHOUSE INTERNATIONAL PICTURES
32646,KILLER FILMS
10533,HOLLYWOOD PICTURES
10802,UNITED ARTISTS
10149,MIRAMAX FILMS
18402,SPRING CREEK PRODUCTIONS
9348,METRO-GOLDWYN-MAYER (MGM)
139408,MALPASO PRODUCTIONS
281,LIGHTSTORM ENTERTAINMENT
5967,BETA FILM
79593,HOLLYWOOD PICTURES
47939,SAVOY PICTURES
36834,SOCIÉTÉ FRANÇAISE DE PRODUCTION (SFP)
9090,UNIVERSAL PICTURES
3512,REGENCY ENTERPRISES
52856,HOLLYWOOD PICTURES
9560,TWENTIETH CENTURY FOX FILM CORPORATION
9804,UNIVERSAL PICTURES
31611,HBO
65796,UNITED ARTISTS
49805,PARAMOUNT PICTURES
26258,TWENTIETH CENTURY FOX FILM CORPORATION
50797,CANAL+
19155,POLYGRAM AUDIOVISUEL
76,DETOUR FILM PRODUCTION
11017,JACK GIARRAPUTO PRODUCTIONS
37141,SPELLING FILMS INTERNATIONAL
9382,REGENCY ENTERPRISES
6715,UNIVERSAL PICTURES
18256,FULL MOON ENTERTAINMENT
22625,THE RANK ORGANISATION
2292,MIRAMAX FILMS
1909,NEW LINE CINEMA
8984,WARNER BROS.
61813,KEYSTONE PICTURES
4954,PARAMOUNT PICTURES
62488,SAVOY PICTURES
10531,FINE LINE FEATURES
11929,CASTLE ROCK ENTERTAINMENT
8467,NEW LINE CINEMA
10451,ANG LEE PRODUCTIONS
20156,MIRAMAX FILMS
18395,SAVOY PICTURES
522,TOUCHSTONE PICTURES
397,TWENTIETH CENTURY FOX FILM CORPORATION
10525,COLUMBIA PICTURES
27985,TWENTIETH CENTURY FOX FILM CORPORATION
15789,WALT DISNEY PICTURES
27303,TRISTAR PICTURES
21183,METRO-GOLDWYN-MAYER
10954,ITALIAN INTERNATIONAL FILM
72031,MIRAMAX FILMS
14275,FINE LINE FEATURES
1024,WINGNUT FILMS
17207,CARAVAN PICTURES
13701,COLUMBIA PICTURES
14819,WALT DISNEY PICTURES
32631,UNIVERSAL PICTURES
11777,PARAMOUNT PICTURES
628,GEFFEN PICTURES
87729,MERCHANT IVORY PRODUCTIONS
18713,CARAVAN PICTURES
6280,UNIVERSAL PICTURES
9061,FOUNTAINBRIDGE FILMS
37108,WALT DISNEY PICTURES
6071,TWENTIETH CENTURY FOX FILM CORPORATION
11,LUCASFILM
9587,COLUMBIA PICTURES
19101,WARNER BROS.
49980,CHANNEL FOUR FILMS
17961,MK2 PRODUCTIONS
18183,AVIACSA
4476,BEDFORD FALLS PRODUCTIONS
11008,UNIVERSAL PICTURES
47504,FINE LINE FEATURES
32325,CHANNEL FOUR FILMS
43742,WARNER BROS.
28313,PARAMOUNT PICTURES
11318,CHANNEL FOUR FILMS
3036,AMERICAN ZOETROPE
40490,WALT DISNEY PICTURES
24070,TRISTAR PICTURES
8986,PARAMOUNT PICTURES
10510,TWENTIETH CENTURY FOX FILM CORPORATION
17402,HOLLYWOOD PICTURES
38722,AMERICAN ZOETROPE
8438,WOLPER ORGANIZATION
11593,PARAMOUNT PICTURES
1945,TWENTIETH CENTURY FOX FILM CORPORATION
39310,40 ACRES & A MULE FILMWORKS
109560,TOEI
56428,METRODOME FILMS
63105,FILMWERKS
131957,TRIUMPH FILMS
241,REGENCY ENTERPRISES
9058,TRISTAR PICTURES
527,AVALON STUDIOS
18220,NEW LINE CINEMA
6950,KOPELSON ENTERTAINMENT
101,COLUMBIA PICTURES
63020,"SAMUEL GOLDWYN COMPANY, THE"
2307,HOLLYWOOD PICTURES
680,MIRAMAX FILMS
41478,POLYGRAM FILMED ENTERTAINMENT
25296,ANG LEE PRODUCTIONS
40156,BBC FILMS
11450,WILDWOOD ENTERPRISES
30304,CECILE COMPANY
10452,RENN PRODUCTIONS
12106,TRISTAR PICTURES
161495,HOLLYWOOD PICTURES
3586,MIRAMAX FILMS
110,ZESPÓŁ FILMOWY TOR
