id,keyword
862,jealousy
8844,board game
15602,fishing
31357,based on novel
11862,baby
949,robbery
11860,paris
9091,terrorist
710,cuba
9087,white house
12110,dracula
21032,wolf
10858,usa president
1408,exotic island
524,poker
4584,bowling
5,hotel
9273,africa
11517,brother brother relationship
8012,gambling
1710,police brutality
9691,competition
12665,dead animal
451,individual
16420,shakespeare
9263,1970s
17015,captain
902,clone
37557,servant
9909,rap music
63,schizophrenia
9598,sheep
47018,england
687,prison
33689,orphan
9603,puberty
34615,south africa
31174,england
11443,money
35196,jealousy
9312,martial arts
577,adultery
11861,wedding vows
807,self-fulfilling prophecy
10530,culture clash
8391,professor
629,law
11448,prostitute
49133,independent film
26441,sport
97406,alcohol
9089,baltimore
11010,island
11359,cupboard
17182,rape
2054,composer
10607,date
19760,island
9536,biotope
11525,hacker
4482,love triangle
10634,rap music
755,dancing
11859,bomb
28387,college
48750,paris
20927,florist
36929,bully
9102,man vs machine
27526,loss of daughter
9623,jurors
46785,fish
400,father son relationship
880,suicide
146599,racial segregation
8447,class society
10534,sailing trip
17414,boss
13997,nitrous oxide
2086,assassination
9095,servant
12158,vampire
9283,hometown
9208,helicopter
40154,play
406,paris
63076,narration
11062,corruption
13685,brother brother relationship
2045,wife husband relationship
9614,loss of mother
688,farewell
11907,prophecy
10874,island
96357,ex-con
197,individual
103,vietnam veteran
33542,new york
71754,mining
43612,best friend
51352,fascism
16934,london england
10324,roommate
78406,brother brother relationship
55731,hawaii
11066,role of women
11104,ex-girlfriend
2074,lsd
27793,flying
44284,woman director
32622,independent film
73067,boy
11863,callgirl
55475,new york
9101,submarine
123360,biography
5757,homosexuality
39428,southern usa
9302,skab under tv
11000,gay
249882,mountain
16388,love
9737,miami
30765,china
10474,sport
22279,england
30157,independent film
568,moon
11780,scotland
34996,new york
414,riddle
649,prostitute
1873,burma
5894,smoking
8839,halloween
20649,drug pusher
10329,gorilla
8963,submarine
26564,underground
8068,gunslinger
8512,jazz club
1572,bomb
13552,sex
6520,camelot
9073,human animal relationship
10428,female nudity
17447,gay
9886,brain
9482,judge
19326,stripper
9344,puberty
9071,cinema
8973,fanatic
47608,suicide attempt
2293,sex
9070,based on tv series
68274,widow
48787,chase
34574,new york
1642,cheating
11472,parent child relationship
36196,library
11980,angel
58372,trauma
32646,sex
10533,based on novel
10802,dancing
10149,smoking
18402,horse
9348,telepathy
139408,restaurant
281,pornography
5967,car mechanic
47939,baseball
36834,mentor
9090,transvestism
3512,terrorist
52856,woman director
77350,fashion
9560,world war ii
9804,ocean
31611,dystopia
65796,opium
26258,cave
50797,wife husband relationship
19155,monk
76,dialogue
11017,woman director
37141,alcohol
9382,aids
6715,mississippi
18256,castle
22625,forbidden love
2292,salesclerk
1909,sex addiction
8984,employee
61813,vision
4954,terrorist
62488,heist
10531,married couple
11929,child abuse
8467,gas station
10451,cooking
20156,secret
18395,female nudity
522,individual
397,paris
10525,paris
27985,wilderness
15789,father son relationship
27303,suspense
21183,father son relationship
10954,brother brother relationship
47867,country music
14275,chicago
1024,mother
13701,deafness
14819,overweight
11777,wedding vows
628,paris
87729,france
18713,new york
6280,baby
9061,rape
37108,time travel
6071,hoodlum
11,android
9587,depression
19101,based on novel
49980,love
18183,chocolate
4476,brother brother relationship
11008,headquarter
47504,russian mafia
32325,east los angeles
43742,cruise
28313,mother
11318,queen
3036,human experimentation
24070,holiday
8986,prostitute
10510,holiday
38722,immigrant
8438,prison
11593,illegal employment
1945,loss of mother
39310,new jersey
56428,suicide
63105,cyborg
241,sadistic
9058,venice
527,individual
18220,sex
6950,river
101,new york
63020,immigration
2307,jealousy
680,transporter
41478,black panther
40156,gay
11450,television
30304,hawaii
10452,marriage of convenience
12106,gunslinger
161495,grandfather grandson relationship
3586,paris
110,judge
108,paris
109,hairdresser
92769,therapist
22586,princess
14334,family relationships
2636,explosive
2164,space travel
11395,holiday
278,prison
9905,roommate
87078,amnesia
12527,gay
20306,independent film
36614,gay
31439,gambling
9067,destroy
9059,prostitute
193,based on tv series
25066,prison
12122,alien life-form
32636,independent film
36141,noir
95963,vietnam
1587,brother brother relationship
9271,artificial intelligence
2064,brother brother relationship
19855,vietnam veteran
60855,culture clash
236,individual
48287,friends
3049,dolphin
2759,gay
12635,red-light disctrict
10497,eroticism
11382,lover (female)
9331,assassination
10731,suicide
10464,loss of mother
34152,black people
9495,halloween
29973,baseball
888,manager
13,vietnam veteran
712,upper class
16295,racism
48992,puerto rican
10879,newspaper
10660,waitress
10714,indian lead
41647,nazis
8587,loss of parents
1689,buddhist
11596,fire
854,dual identity
9359,poker
23333,new york
36593,undercover
12280,new york
2788,roommate
10427,sheriff
11011,family
49803,mother
8987,river
1637,bomb
15128,politics
8831,martial arts
36955,spy
10449,wife husband relationship
10395,adultery
12160,gunslinger
40480,cia
52038,gay
29444,loss of brother
26352,fbi
315,killing
22067,family relationships
18242,stop motion
11667,dictator
32502,hitman
28732,prank
75555,mannequin
42981,film history
278939,robbery
291731,obsession
203119,television
316098,malcolm x
8011,japan
2654,small town
18069,rodeo
19092,sport
2758,jealousy
38129,stand-up comedy
10436,upper class
13595,radio station
46094,sport
9409,staatsanwältin
11853,female nudity
16771,barcelona spain
46924,success
11041,arkansas
306,detective
14522,horse
26203,killer
178,terrorist
19819,sport
57834,mental disease
4722,distrust
18215,obsession
1607,gambling
117553,male nudity
6075,prison
11310,nevada
9350,mountain
9612,extraterrestrial technology
2124,suicide
26261,winging into a wall
19176,cowboy
49299,independent film
11566,coma
9571,1970s
9739,helicopter
34444,transvestism
26141,spoof
10997,gay
10443,grief
20239,hip-hop
16297,homeless person
18551,gambling
9024,hotel
37233,fbi
1634,social work
13815,war on drugs
5503,chicago
35588,apache
2087,suicide by hanging
18620,lesbian relationship
41006,golf
2019,new orleans
31642,vietnam
9255,swordplay
26271,sleepover
10612,wales
2259,central and south america
11934,suicide
106143,father daughter relationship
12475,education
9386,cia
7984,bomb
15765,price of fame
6,chicago
329,exotic island
10909,california
507,paris
34024,marbles
29918,lassie
9593,magic
22317,lightning
1413,china
12121,car dealer
2246,married couple
10502,secret
10440,investigation
9516,black people
2320,bomb
5879,japan
83718,date
11971,shakespeare
2625,depression
31911,professor
788,san francisco
21450,reference to the book of revelation
11231,martial arts
41588,yuppie
10447,prison
31586,parent child relationship
9300,london england
9559,hostage
9800,gay
713,love triangle
8291,loss of lover
18133,american football
22588,radio station
10872,holiday
1245,newspaper
11858,vietnam veteran
7007,japan
10467,competition
5550,cyborg
8005,witch
2088,police operation
10412,skinhead
47889,independent film
14534,american football
56583,schizophrenia
424,factory
35233,baseball
14291,chess
103413,suicide
11236,based on novel
11592,housewife
8850,new york
10445,bachelor
695,suicide
12519,female nudity
23210,con man
858,father son relationship
867,new york
78,artificial intelligence
13203,college
10442,scotland
11074,philadelphia
9607,saving the world
17585,hunting human beings
9057,ladykiller
10635,crush
9479,holiday
10057,paris
11969,retirement
41590,organized crime
319,father son relationship
26408,politics
15139,library
161158,cheating wife
218473,woman director
85247,hitman
11446,parent child relationship
51980,industrial revolution
24405,prison
11655,industrialist
11800,new york
8223,suicide
14587,indian lead
31504,baseball
41653,father son relationship
23637,woman director
17600,adultery
10897,running
349394,coming of age
32562,gay
47507,pregnancy
25403,independent film
124304,dwarves
9066,supermarket
771,holiday
251,corruption
812,magic
280,cyborg
581,skab under tv
80350,cia
268,double life
274,based on novel
408,poison
10020,prince
10895,italy
114,prostitute
41043,paris
576,underdog
15477,suspense
59146,bride
124472,woman director
7300,skab under tv
10824,new orleans
261246,london england
275,cheating
11827,flying car
8766,artificial intelligence
23570,independent film
47333,aunt
54850,countryside
51242,switzerland
10112,paris
4307,spain
32308,baseball
88893,mountain
52873,reunion
340210,prison guard
44281,young boy
28121,revenge
12520,painter
1592,corruption
36447,secret
19042,dog
38884,spain
47449,answering machine
36259,cop
41852,letter
9099,gulf war
2021,london england
61752,independent film
10988,wife husband relationship
11479,paris
339428,sex
12652,age difference
