id,language
862,English
8844,English
15602,English
31357,English
11862,English
949,English
11860,Français
45325,English
9091,English
710,English
9087,English
12110,English
21032,English
10858,English
1408,English
524,English
4584,English
5,English
9273,English
11517,English
8012,English
1710,English
9691,English
12665,English
451,English
16420,English
9263,English
17015,English
902,广州话 / 廣州話
37557,普通话
9909,English
63,English
78802,English
9598,English
47018,English
687,English
139405,Pусский
33689,English
9603,Español
34615,English
31174,English
11443,English
35196,English
9312,English
577,English
11861,English
807,English
10530,English
8391,English
629,Español
11448,English
49133,shqip
26441,English
97406,English
124057,English
9089,English
11010,Italiano
99040,English
11359,English
17182,English
2054,English
10607,English
19760,English
9536,English
11525,English
40628,English
4482,Français
10634,English
755,English
11859,English
28387,English
48750,Français
20927,English
36929,English
9102,English
124626,Deutsch
27526,English
9623,English
46785,فارسی
400,English
880,Nederlands
146599,English
8447,English
10534,Dansk
17414,English
13997,English
2086,English
61548,English
9095,English
12158,English
9283,English
9208,English
40154,English
406,Français
45549,English
63076,English
11062,English
13685,Español
47475,English
2045,English
9614,English
688,English
11907,Deutsch
10874,English
89333,English
197,English
103,English
33542,广州话 / 廣州話
43566,English
71754,English
43612,Français
51352,English
16934,English
10324,English
78406,English
55731,English
32119,English
11066,Français
11104,广州话 / 廣州話
37975,Italiano
2074,English
27793,English
44284,العربية
110972,English
32622,English
73067,English
11863,English
55475,Español
124636,English
9101,English
123360,English
5757,English
39428,English
9302,Français
11000,English
249882,English
16388,English
9737,English
30765,Deutsch
10474,English
22279,English
30157,English
568,English
11780,English
34996,English
414,English
649,Français
1873,English
5894,English
1775,English
8839,English
20649,English
10329,English
8963,English
26564,English
8068,English
8512,English
1572,English
13552,English
259209,English
6520,English
9073,English
10428,English
17447,English
9886,English
9482,English
19326,English
9344,English
9071,English
8973,English
15730,English
47608,English
2293,English
9070,English
68274,English
48787,Pусский
34574,Deutsch
1642,English
11472,English
36196,English
11980,English
58372,English
32646,English
10533,English
10802,English
10149,English
18402,English
9348,English
139408,Magyar
281,English
5967,Français
79593,English
47939,English
36834,English
9090,English
3512,English
52856,English
77350,English
9560,English
9804,English
31611,English
65796,广州话 / 廣州話
49805,English
26258,English
50797,Pусский
19155,shqip
76,English
11017,Français
37141,English
9382,English
6715,English
18256,English
22625,English
2292,English
1909,English
8984,English
61813,English
4954,English
62488,English
10531,English
11929,English
8467,English
10451,普通话
20156,English
18395,English
522,English
397,Français
10525,English
27985,English
15789,English
27303,English
21183,English
10954,Français
47867,English
43475,English
72031,English
14275,English
1024,English
17207,English
13701,English
14819,English
32631,English
11777,English
628,English
87729,English
18713,English
6280,English
9061,English
37108,English
6071,English
11,English
9587,English
19101,English
49980,English
17961,Français
18183,English
4476,
11008,English
47504,English
32325,English
43742,English
28313,English
11318,English
3036,English
40490,English
24070,English
8986,English
10510,English
17402,English
38722,English
8438,English
11593,Český
1945,English
39310,English
109560,English
56428,English
63105,English
131957,English
241,English
9058,English
527,English
18220,English
6950,English
101,English
63020,English
2307,English
680,English
41478,English
25296,English
40156,English
11450,English
30304,
10452,Français
12106,English
161495,English
3586,Français
110,Français
108,Français
109,Français
159185,普通话
36357,English
92769,English
28033,English
22586,English
14334,English
2636,English
2164,English
11395,English
278,English
9905,English
87078,English
12527,Español
20306,English
36614,English
27993,English
31439,普通话
9067,English
9059,English
193,English
25066,English
46797,English
12122,English
11381,English
32636,English
36141,English
95963,English
1587,English
9271,English
2064,English
19855,English
60855,广州话 / 廣州話
236,English
48287,English
3049,English
2759,English
12635,English
10497,Français
11382,English
9331,English
10731,English
10464,English
34152,English
9495,English
29973,English
888,English
13,English
712,English
16295,English
48992,English
10879,English
10660,English
10714,English
41647,Deutsch
8587,English
1689,English
